🏡_token,🏡_token_en,🏡_%,؟_token,؟_token_en,؟_%,بنغازي_token,بنغازي_token_en,بنغازي_%,كايرو_token,كايرو_token_en,كايرو_%,🔑_token,🔑_token_en,🔑_%,🌸_token,🌸_%,ينتصر_token,ينتصر_token_en,ينتصر_%,خريج_token,خريج_en_token,خريج_%,ويجز_token,ويجز_token_en,ويجز_%
بالجنه🌸,in heaven,0.578623771667481,!,!,0.903396666049957,طرابلس,Tripoli,0.843411028385162,فيستيفال,Festival,0.611436486244202,الفجر🔔,Dawn 🔔,0.546577215194702,🍃,0.840510010719299,انتصر,win,0.646088838577271,متخرج,graduate,0.729051887989044,فرفعنا,we raised,0.49491086602211
واحدستار,one star,0.544264554977417,يعني,means,0.740557074546814,مصراته,Misrata,0.840368509292602,رانرز,Runners,0.60625296831131,⛅,⛅,0.499579221010208,💕,0.822341978549957,تنتصر,win,0.62312513589859,خريج كليه,college graduate,0.663102686405182,فمزق,rip,0.480293810367584
احد﴾١٠مرات,10 times,0.528827905654907,والا,and,0.728940904140472,درنه,Derna,0.808382213115692,فيستفال,Festival,0.589173913002014,💞💎➍فولومي,💞💎➍follow me,0.487475872039795,💜,0.814571261405945,سينتصر,will win,0.603488266468048,وخريج,and graduate,0.637243330478668,فتخترق,and penetrate,0.479960888624191
للصباغه,for dyeing,0.526409208774567,.,.,0.724042952060699,ليبيا,Libya,0.791041612625122,مارينا,Marina,0.571792900562286,فولوباك💞💞💎➏,follow back 💞💞💎➏,0.481774240732193,✨,0.806742548942566,يستسلم,Give up,0.600360333919525,بكلوريوس,bachelor,0.618444740772247,بشومه,shomoh,0.476637661457062
√بزيت,Bzet,0.510055780410767,ولا,Nor,0.721303403377533,بني وليد,Bani Walid,0.771268963813782,ايجيبت,Egypt,0.567337572574616,واغمر قلوبنا بمغفرتك,Fill our hearts with your forgiveness,0.479115098714829,💗,0.79394257068634,يهزم,beats,0.596508800983429,مهندس,Engineer,0.610705673694611,وينتف,and pluck,0.467148333787918
القطقوط,,0.507755815982819,او,Or,0.705595314502716,اجدابيا,Ajdabiya,0.746376752853394,ستارز,stars,0.563636243343353,👇💫سعاده,👇💫 happiness,0.476586222648621,🌿,0.781481206417084,ننتصر,we win,0.58512157201767,كطالب,as a student,0.599929690361023,يہبہ,yahbah,0.465391397476196
طمعنجي,,0.503868699073792,و,and,0.701087415218353,طبرق,Tobruk,0.731766402721405,سيتي ستارز,City Stars,0.546863913536072,وعيونك اول اوطاني,And your eyes first national,0.474698424339294,💓,0.768506407737732,يتغلب,overcome,0.574260175228119,طالب,Student,0.596414744853973,قطعله,cut it,0.460029482841492
بالراشديه,,0.502096831798553,لان,Because,0.669941604137421,ورشفانه,and Rishvana,0.71777480840683,دريم بارك,Dream Park,0.545682966709137,ولطف القدر,Kindness of qadar,0.472109586000443,🍂,0.759258687496185,ينحاز,take sides,0.562810838222504,ومتخرج,and graduate,0.592649936676025,مغسلش,washroom,0.452069014310837
🏠,,0.500177502632141,لو,If,0.661458909511566,صبراته,Sabratha,0.71633380651474,راس البر,Ras al Bar,0.544068157672882,💛💙┗〰〰💛💙〰〰┛💙,💛💙┗〰〰💛💙〰〰┛💙,0.470810145139694,🌸🍃,0.755847156047821,يرضخ,acquiesce,0.54582142829895,بكالريوس,bachelor,0.588691532611847,بنعلين,Benalin,0.45182666182518
🏩,,0.496944397687912,لكن,But,0.657809734344482,تاجوراء,Tajoura,0.705856621265411,جاردن سيتي,Garden City,0.543765068054199,~🌸,~🌸,0.467756658792496,💞,0.755531549453735,يقول كلمته,say his word,0.542996346950531,خريجين,graduates,0.588064968585968,وسلخت,and flayed,0.451310813426971
